event_name,Total_Volume,trxs
transfer,824364843.467425,6097279
swap,8338958.007615,654544
bid,1388545.304719,335935
buy,1649888.926685,274256
swap_exact_coin_for_coin_with_signer,16449207.073752,241063
mint,225779.878667,158629
one_step_route,3686784.008520,153429
swap_exact_input,5362209.188337,138567
add_liquidity,2443803.444462,134927
claim,21709390.245038,132994
cancel,1011227.646243,95866
batch_buy_script,213271.765122,93145
swap_exact_coins_for_coins_entry,381192.618063,79447
swap_into,624664.721366,78594
cancel_bid,195470.724842,66347
remove_liquidity,2586274.109638,65383
send_coin_from,30310.148217,64964
two_step_route,722101.447038,63916
mint_tokens,89737.884295,57316
airdrop,8819.314118,53721
fill,121097.991246,53253
stake,1064712.331038,46304
three_step_route,101961.748482,45776
buy_many,291168.278342,42410
swap_exact_coin_for_coin,58570.502608,36668
stake_aptos,596223.970124,36308
swap_exact_output,1043212.799031,34111
batch_buy_script_V1,105075.129589,33621
run,363.056054,30645
buy_direct_listing,5585.040945,30258
swap_x_to_y,78663.788902,28860
inittialize_offer_collection,68805.344775,27444
register_domain_with_signature,293120.000000,26083
mint_with_quantity,40752.803988,25723
cancel_offer_collection,52978.092756,21967
weighted_batch_vote,6664.300000,21504
swap_y_to_x,72441.358802,19699
deposit,368422.020961,18168
add_liquidity_entry,86531.552542,17831
swap_with_fees,119798.803231,15611
instant_unstake,500317.433205,15457
flip,5504.920634,14998
accept_offer_collection,14269.701127,14102
swap_coin_for_exact_coin_with_signer,361787.845976,11996
init_wallet_creation,3477.234965,11888
bet,4162.460800,11786
inittialize_offer,24633.879756,11302
withdraw,264912.712731,10653
remove_liquidity_entry,65824.555562,10631
buy_tickets,5837.093000,10179
mint_with_quantity_whitelist,18075.420520,9660
cancel_offer_token,22644.275919,9648
swap_exact_out_single,57122.279479,9515
swap_unchecked,250075.959309,8497
swap_exact_coins_for_coins_3_pair_entry,165.668876,8408
result,2813.031300,7842
swap_exact_coins_for_coins_2_pair_entry,2690.838692,7563
swap_script,3592414.096779,7321
register_subdomain,1431.400000,7157
public_sale_mint,26942.299000,6920
deposit_with_price,37651.309611,5879
intermediate_route,54406.256299,5581
pre_sale_mint,19722.340000,5576
three_step,80.468584,5553
swap_exact_input_doublehop,137508.071803,5495
direct_route,45242.290279,5151
send,2449.055601,5006
pay,161981.095885,4509
split_swap,418631.317106,4482
buy_tickets_holder,3277.620900,4469
set_message,3029.548980,4283
recycle,42.620000,4262
invest,113442.657080,4151
buy_v2,6395.710189,3752
swap_coins_for_exact_coins_entry,17566.486776,3699
register_pool_and_add_liquidity,545166.589854,3655
swap_coin_for_exact_coin,2401.201103,3613
invest_with_insurance,62663.309282,3297
withdraw_with_price,27498.666554,3190
mint_token,3380.530000,3072
mintNFT,28431.000000,3025
register,6823.992175,2999
batch_buy_script_V2,5445.233350,2980
swap_script_type3,99.264525,2976
two_step,29.567476,2920
mint_with_quantity_wl,5074.831000,2747
add_liquidity_fix_token,4375.173063,2633
swap_exact_in_single,34911.830443,2502
so_swap_via_wormhole,9480.492580,2219
mint_entry,192549.003650,2039
register_domain,8730.450000,1915
buyNFT,37150.069529,1817
sell,13740.243333,1663
stake_to_bank,42290.127337,1632
split_swap_v2_1_2,468982.228276,1605
stakeV,60.806000,1560
route,9578.340156,1502
play,210.441000,1356
supply,45351.494385,1351
do,20.723728,1275
